Time(s),AngularVelocityX(rad/s),AngularVelocityY(rad/s),AngularVelocityZ(rad/s),EulerAngleX(rad),EulerAngleY(rad),EulerAngleZ(rad),OrientationQuaternion0,OrientationQuaternion1,OrientationQuaternion2,PositionX(m),PositionY(m),PositionZ(m),TimeStep(s),VelocityX(m/s),VelocityY(m/s),VelocityZ(m/s)
0.09999999999999999,-0.0013716367275468859,0.03748843164773469,0.0882760768897966,3.1415299237923944,-0.001893049986182012,1.5675751240831937,0.9999982544880575,-3.288931751327193e-05,0.000946473107328186,0.002671372554391224,-3.7986966275863817e-06,-0.4277132604907423,0.009999999999999995,0.05326305723116348,-9.880858700232075e-05,-0.634914811515285
0.10999999999999999,-0.0014953130327266914,0.041109832777400636,0.10271575080894824,3.1415175774583712,-0.0022861289131737737,1.566620067613941,0.9999971657673689,-3.992482380002162e-05,0.0011429833305812197,0.003230954679908038,-4.835817816908795e-06,-0.4340220725458644,0.009999999999999995,0.05865250436159482,-0.00010844191189791753,-0.6282355163994091
0.11999999999999998,-0.001603927073046046,0.044704702801186186,0.11666805154889313,3.1415048152194665,-0.0027153138243700093,1.565522491966819,0.9999956006008155,-4.7499015882511344e-05,0.001357535962656497,0.0038448977540019393,-5.944404086036999e-06,-0.4400968980405864,0.009999999999999995,0.06413680773892819,-0.00011290013730847487,-0.5881168318358289
0.12999999999999998,-0.001693678418571533,0.04827166739900962,0.12945688059247407,3.141491943682508,-0.0031803359840072622,1.5642906547122575,0.9999934436950774,-5.552716800391587e-05,0.0015899951111897931,0.0045142921054873286,-7.062684319711265e-06,-0.44560322494532967,0.010000000000000009,0.06974486533709111,-0.00011014464763021754,-0.5145361139899355
0.13999999999999999,-0.001760677692311895,0.05180892552560985,0.14040083066414655,3.141479287366935,-0.003680909364867677,1.5629395840781763,0.9999905883196961,-6.391254480163018e-05,0.0018402167680798256,0.005240542487609222,-8.106913645496876e-06,-0.4502063371373994,0.010000000000000009,0.07551081253515661,-9.780012093273166e-05,-0.4074744485310367
0.15,-0.0018004672772744337,0.05531471133865726,0.1487550379657916,3.141467174562183,-0.0042167274449507455,1.5614913332846856,0.9999869519990628,-7.254780800411821e-05,0.00210804744415454,0.0060254815989614135,-8.965119262888873e-06,-0.4535568049419087,0.010000000000000009,0.08149230017066744,-7.231941399081049e-05,-0.26255471422664395
0.16,-0.0018069691466614415,0.05878895159326207,0.15351367627457463,3.1414559220208176,-0.004787469691019145,1.5599765129592311,0.9999824983270748,-8.131439527473468e-05,0.0023933276755352642,0.0068717702925314246,-9.477513935325125e-06,-0.4552168979550817,0.010000000000000009,0.0878012537419362,-2.7476746801694458e-05,-0.06640022303449286
0.17,-0.0017728244055271207,0.06223727524155758,0.15330382980473264,3.141445810260612,-0.0053928360256759655,1.558437761718887,0.999977269112318,-9.008179834427096e-05,0.0026959095702810544,0.007783339110304719,-9.413155997860593e-06,-0.45461328102233534,0.010000000000000009,0.09456031606209975,4.382825034382395e-05,0.19027628900966229
0.18000000000000002,-0.0016960230004661062,0.06567215562830384,0.14681356476754026,3.1414370218228194,-0.006032617746079886,1.556931569457001,0.9999714175576763,-9.872365563983779e-05,0.0030156923694290246,0.008765192955223482,-8.481021680868093e-06,-0.45113990943702814,0.010000000000000009,0.1018721303370048,0.00014650208342393683,0.5074443602394662
0.19000000000000003,-0.0015874292014894035,0.0690966364850125,0.13306196631939732,3.1414295166375514,-0.00670670169694712,1.5555258286569844,0.999965223900611,-0.00010716901194339338,0.003352624021990116,0.009823423851839591,-6.3552885378571e-06,-0.4441983148808828,0.010000000000000009,0.1098510809905595,0.0002824073623935951,0.8834780803721825
0.20000000000000004,-0.001468439826881984,0.07247903294604728,0.11089817218392863,3.1414228720654225,-0.0074148437628488995,1.55429839137933,0.9999590990127882,-0.00011546927687313175,0.003706586990974841,0.010965408658012968,-2.7020750106535555e-06,-0.4332037056415444,0.010000000000000009,0.11861912336248502,0.0004508463157435529,1.3146214448405307
