"part X,Y,Z",Forces & Moments,Magnitude Vectors of Forces and Moments
FirstStage.MotorFX(N),0.0,
FirstStage.MotorFY(N),0.0,
FirstStage.MotorFZ(N),4066.7428531347546,4066.7428531347546
FirstStage.MotorMX(Nm),0.0,
FirstStage.MotorMY(Nm),0.0,
FirstStage.MotorMZ(Nm),0.0,0.0
FirstStage.NoseConeShell+CouplerFX(N),6.463291793159715,
FirstStage.NoseConeShell+CouplerFY(N),8.25703931645195,
FirstStage.NoseConeShell+CouplerFZ(N),145.74101701147907,146.11775004638278
FirstStage.NoseConeShell+CouplerMX(Nm),0.0,
FirstStage.NoseConeShell+CouplerMY(Nm),0.0,
FirstStage.NoseConeShell+CouplerMZ(Nm),2.6473278873112788e-08,2.6473278873112788e-08
FirstStage.NoseConeTipFX(N),0.0,
FirstStage.NoseConeTipFY(N),0.0,
FirstStage.NoseConeTipFZ(N),0.0,0.0
FirstStage.NoseConeTipMX(Nm),0.0,
FirstStage.NoseConeTipMY(Nm),0.0,
FirstStage.NoseConeTipMZ(Nm),0.0,0.0
FirstStage.NoseconetubeFX(N),0.273212900969128,
FirstStage.NoseconetubeFY(N),0.319501917883037,
FirstStage.NoseconetubeFZ(N),26.354131572860823,26.35748428292136
FirstStage.NoseconetubeMX(Nm),0.0004485769276134,
FirstStage.NoseconetubeMY(Nm),0.0053205750476334,
FirstStage.NoseconetubeMZ(Nm),5.667652374318099e-08,0.005339451292099073
FirstStage.Nozzle+HouseingFX(N),0.0,
FirstStage.Nozzle+HouseingFY(N),0.0,
FirstStage.Nozzle+HouseingFZ(N),0.0,0.0
FirstStage.Nozzle+HouseingMX(Nm),0.0,
FirstStage.Nozzle+HouseingMY(Nm),0.0,
FirstStage.Nozzle+HouseingMZ(Nm),0.0,0.0
FirstStage.PayloadFX(N),0.0,
FirstStage.PayloadFY(N),0.0,
FirstStage.PayloadFZ(N),0.0,0.0
FirstStage.PayloadMX(Nm),0.0,
FirstStage.PayloadMY(Nm),0.0,
FirstStage.PayloadMZ(Nm),0.0,0.0
FirstStage.PressureVesselFX(N),0.8115531183335808,
FirstStage.PressureVesselFY(N),0.949050271241904,
FirstStage.PressureVesselFZ(N),115.1195034992075,115.12627589210582
FirstStage.PressureVesselMX(Nm),2.5528773457998617e-05,
FirstStage.PressureVesselMY(Nm),0.0003747132647681,
FirstStage.PressureVesselMZ(Nm),2.5115627019912125e-07,0.00037558196461879006
FirstStage.RecoverySystemFX(N),0.0,
FirstStage.RecoverySystemFY(N),0.0,
FirstStage.RecoverySystemFZ(N),0.0,0.0
FirstStage.RecoverySystemMX(Nm),0.0,
FirstStage.RecoverySystemMY(Nm),0.0,
FirstStage.RecoverySystemMZ(Nm),0.0,0.0
FirstStage.RecoveryTubeFX(N),0.3080607722619021,
FirstStage.RecoveryTubeFY(N),0.3602538797145929,
FirstStage.RecoveryTubeFZ(N),29.010610455393188,29.014482647323295
FirstStage.RecoveryTubeMX(Nm),0.0002826242102493,
FirstStage.RecoveryTubeMY(Nm),0.0032505925282682,
FirstStage.RecoveryTubeMZ(Nm),6.250605912961603e-08,0.0032628558400516405
FirstStage.UpperPVBulkheadFX(N),0.0,
FirstStage.UpperPVBulkheadFY(N),0.0,
FirstStage.UpperPVBulkheadFZ(N),0.0,0.0
FirstStage.UpperPVBulkheadMX(Nm),0.0,
FirstStage.UpperPVBulkheadMY(Nm),0.0,
FirstStage.UpperPVBulkheadMZ(Nm),0.0,0.0
FirstStage.UpperPVCasingFX(N),0.0095080485266019,
FirstStage.UpperPVCasingFY(N),0.0111189469047713,
FirstStage.UpperPVCasingFZ(N),1.7952331509303572,1.7952927616871834
FirstStage.UpperPVCasingMX(Nm),1.3656478657621268e-08,
FirstStage.UpperPVCasingMY(Nm),2.552292987115837e-08,
FirstStage.UpperPVCasingMZ(Nm),4.411738387658712e-09,2.9281099605979194e-08
FirstStage.UpperPlumbingFX(N),0.0,
FirstStage.UpperPlumbingFY(N),0.0,
FirstStage.UpperPlumbingFZ(N),0.0,0.0
FirstStage.UpperPlumbingMX(Nm),0.0,
FirstStage.UpperPlumbingMY(Nm),0.0,
FirstStage.UpperPlumbingMZ(Nm),0.0,0.0
GravityFX(N),383.4394712857231,
GravityFY(N),101.56612464038844,
GravityFZ(N),485.9729474719298,627.304719804416
TotalFX(N),374.6687165430837,
TotalFY(N),99.45230470170996,
TotalFZ(N),3549.458524905824,3570.5634328622637
