Time(s),AngularVelocityX(rad/s),AngularVelocityY(rad/s),AngularVelocityZ(rad/s),EstimatedIntegrationError,EulerAngleX(rad),EulerAngleY(rad),EulerAngleZ(rad),OrientationQuaternion0,OrientationQuaternion1,OrientationQuaternion2,PositionX(m),PositionY(m),PositionZ(m),TimeStep(s),VelocityX(m/s),VelocityY(m/s),VelocityZ(m/s)
0,0.0,0.0,0.0,0,3.0419240010986326,-8.326672684688674e-17,1.5707963267948966,0.9987585269247992,-0.04981370188015912,0.0,0.0,-0.26368485540564374,7.363151445943528,0.01,0.0,0.0,10.0
0.01,8.397846765937291e-05,8.742931066443487e-21,-1.9124187612699314e-19,0,3.0419244170428823,-9.020562075079397e-17,1.5707963267948963,0.9987585372846389,-0.04981349416622496,-1.5918238230161336e-24,-7.090134098388332e-23,-0.2634178190302011,7.465313008731227,0.01,-1.430627744397669e-20,0.0799436399717423,10.697652896467012
0.02,0.00020045134004390016,1.6971854787862648e-20,-3.827174223993812e-19,0,3.041925788098551,-9.020562075079397e-17,1.5707963267948966,0.9987585714329411,-0.049812809489436304,-1.0606062509221618e-23,-2.9565699771707995e-22,-0.26182095969771296,7.579754500134815,0.009999999999999998,-3.1429753839002044e-20,0.23939165042798977,12.19030611423566
0.03,0.00036472860655457527,2.3978181617906458e-20,-5.10109123584135e-19,0,3.0419285875401556,-9.020562075079397e-17,1.5707963267948963,0.9987586411559883,-0.04981141150623852,-1.6040159606138932e-23,-7.123580099950847e-22,-0.2586306818755722,7.709112331444249,0.010000000000000002,-5.2375076114891056e-20,0.3986314809048688,13.680919602581627
0.04,0.0005627060579873707,3.078832036007096e-20,-7.805170641250725e-19,0,3.0419331949924735,-9.020562075079397e-17,1.5707963267948966,0.9987587559051898,-0.04980911063969817,-3.9463669671769394e-23,-1.3525982026768664e-21,-0.25384899203283506,7.853366075395915,0.010000000000000002,-7.615274689126861e-20,0.5576726769204098,15.169488059654693
0.05,0.0007983338355476823,3.6977504898097685e-20,-1.0728700170499667e-18,0,3.041939967156657,-9.020562075079397e-17,1.5707963267948968,0.9987589245572017,-0.049805728760275295,-9.97465996917187e-23,-2.2451700081481314e-21,-0.24747791888831983,8.012495264335863,0.010000000000000002,-1.0285829965012486e-19,0.7165066559852902,16.656008032801893
0.060000000000000005,0.0010756019660932005,4.2006020086317084e-20,-1.4045013949491834e-18,0,3.041949300469791,-8.326672684688674e-17,1.5707963267948966,0.9987591569725576,-0.049801067894838826,-2.1012596876316164e-22,-3.419880048342621e-21,-0.239519580239948,8.186479396566046,0.010000000000000002,-1.3260001052168563e-19,0.8751241817613316,18.140476167316262
0.07,0.001398502357417325,4.591492467406211e-20,-1.7601991846751523e-18,0,3.041961631307084,-9.020562075079397e-17,1.5707963267948963,0.9987594639980075,-0.04979491012556247,-3.8367936727281286e-22,-4.907706135408873e-21,-0.22997618961199456,8.375297937367227,0.009999999999999995,-1.6550390056526742e-19,1.033515340604275,19.622889215094947
0.08,0.001770915774931148,4.8532118105655313e-20,-2.139187185395976e-18,0,3.041977435532122,-9.020562075079397e-17,1.5707963267948968,0.9987598574518073,-0.049787017814344046,-6.324673023014392e-22,-6.740950792727606e-21,-0.21885006320884992,8.57893031681448,0.009999999999999995,-2.017077223335621e-19,1.1916693990915055,21.103242131635273
0.09,0.0021967599258678385,4.917882747089895e-20,-2.540665094023324e-18,0,3.0419972277715703,-9.020562075079397e-17,1.5707963267948966,0.9987603501011904,-0.049777133964781194,-9.698584460758408e-22,-8.953392984613286e-21,-0.20614363367996533,8.7973558630514,0.009999999999999995,-2.4137299065712395e-19,1.3495739607387989,22.58152172400566
0.09999999999999999,0.0026798671624259905,4.793681757988095e-20,-2.963804841984426e-18,0,3.0420215616194533,-9.020562075079397e-17,1.5707963267948966,0.9987609556618681,-0.04976498211988179,-1.4117658541581639e-21,-1.1580564716330979e-20,-0.19185946328661155,9.030553757019382,0.009999999999999995,-2.8468664996480936e-19,1.507214997870063,24.0577064025051
0.10999999999999999,0.003223968389218077,4.4227066492983487e-20,-3.4077489662452223e-18,0,3.0420510284412496,-9.020562075079397e-17,1.5707963267948968,0.9987616887613958,-0.049750266958932206,-1.9735079164520476e-21,-1.4659985785543303e-20,-0.1760002494901786,9.278503055660128,0.009999999999999995,-3.3186091552853773e-19,1.664580802775133,25.5318062063445
0.11999999999999998,0.003832692282625373,3.756207310652627e-20,-3.871606994056079e-18,0,3.0420862564104407,-9.020562075079397e-17,1.5707963267948966,0.9987625649068974,-0.04973267477821508,-2.674547130180957e-21,-1.8231460385089263e-20,-0.15856880974566576,9.541182931836573,0.009999999999999995,-3.8314168765962244e-19,1.8216577715714433,27.003821226725574
0.12999999999999998,0.004509554422509019,2.7903748423396624e-20,-4.123193888539389e-18,0,3.0421279094296207,-8.326672684688674e-17,1.5707963267948966,0.9987636004483221,-0.04971187402929481,-3.511129056775858e-21,-2.2337448874779167e-20,-0.13956810645687207,9.818572517439337,0.010000000000000009,-4.388146932488335e-19,1.9784309346302773,28.47374743052967
0.13999999999999999,0.0052579486650273875,1.49118343389885e-20,-4.346660340753837e-18,0,3.0421766859551664,-9.020562075079397e-17,1.5707963267948966,0.9987648125375428,-0.04968751590537748,-4.4578742175759244e-21,-2.702346816465688e-20,-0.11900125664323247,10.110650904696623,0.010000000000000009,-4.992059072675067e-19,2.1348843298407005,29.941580919700108
0.15,0.006081139770168946,-1.2296988305740535e-21,-4.58725178566744e-18,0,3.0422333177422733,-9.020562075079397e-17,1.5707963267948966,0.9987662190835542,-0.04965923496734501,-5.535683346569488e-21,-3.2338517034283e-20,-0.09687154212301492,10.417397147562685,0.010000000000000009,-5.646858124617394e-19,2.2910009509595337,31.407317938674815
0.16,0.006982256876322516,-2.1968115964477026e-20,-5.07515054962403e-18,0,3.0422985685208097,-8.326672684688674e-17,1.5707963267948963,0.9987678387038741,-0.04962664980423619,-6.790444493257747e-21,-3.8335512808635987e-20,-0.07318242021145438,10.738790263176625,0.010000000000000009,-6.3567038406365515e-19,2.4467626963513545,32.87095488103049
