Time(s),Actuator_0_Deflection,Actuator_0_TargetDeflection,Actuator_1_Deflection,Actuator_1_TargetDeflection,Actuator_2_Deflection,Actuator_2_TargetDeflection,Actuator_3_Deflection,Actuator_3_TargetDeflection,PitchError,RollError,YawError
0.01,0.0,109.63511003572036,0.0,-9.215941192496081e-20,0.0,-109.63511003572036,0.0,-9.916633978316292e-20,0.09966823654691098,9.332735870253103e-22,3.1849657605619748e-24
0.02,4.282316188381817,9.965464995125167,-8.770127591066843e-21,-2.8720354688560193e-19,-4.282316188381817,-9.965464995125167,-9.436924937689119e-21,-3.275196387048526e-19,0.0996668654912426,3.909019634934008e-21,2.122090715887995e-23
0.03,4.823139302517369,9.96385633049408,-3.526657067621106e-20,-4.400431216564284e-19,-4.823139302517369,-9.96385633049408,-3.970649725790121e-20,-4.68207308690819e-19,0.09966406604963783,8.243730320732808e-21,3.209360020309295e-23
0.04,5.3123432080461415,9.961687236311363,-7.37861523859876e-20,-6.264051225219144e-19,-5.3123432080461415,-9.961687236311363,-8.04837408475441e-20,-7.359301395883154e-19,0.09965945859731982,1.4687205024371916e-20,7.896001159710407e-23
0.05,5.754786790214952,9.958944964100032,-1.263748004264314e-19,-8.43521804550162e-19,-5.754786790214952,-9.958944964100032,-1.4285771249074791e-19,-1.1246689438235384e-18,0.09965268643313632,2.3927972590729068e-20,1.9957576907856642e-22
0.060000000000000005,6.154865337027082,9.95555013185586,-1.94620360986622e-19,-1.065812364957313e-18,-6.154865337027082,-9.95555013185586,-2.362894042656701e-19,-1.5915987786626005e-18,0.09964335312000228,3.630393721984415e-20,4.2042584607548493e-22
0.07,6.516548315334457,9.951419161155073,-2.7752524147089956e-19,-1.288106505137291e-18,-6.516548315334457,-9.951419161155073,-3.652641436933504e-19,-2.136144740670152e-18,0.09963102228270906,5.2116575880551676e-20,7.676762041297396e-22
0.08,6.843419493735754,9.946464974026888,-3.7369476380587603e-19,-1.5040850379829989e-18,-6.843419493735754,-9.946464974026888,-5.33785713651684e-19,-2.752744021970303e-18,0.09961521805767128,7.160187809527111e-20,1.2654577638701866e-21
0.09,7.138713313592104,9.940597340993307,-4.812656209236106e-19,-1.7082419179800232e-18,-7.138713313592104,-9.940597340993307,-7.44947515541843e-19,-3.4464752967450132e-18,0.09959542581822281,9.498780809178177e-20,1.940518813089279e-21
0.09999999999999999,7.4053478320034065,9.933721931029607,-5.980278533601762e-19,-1.892030878288576e-18,-7.4053478320034065,-9.933721931029607,-1.0020318744487218e-18,-4.225342118257421e-18,0.09957109197034003,1.2249392698177066e-19,2.8246984469187243e-21
0.10999999999999999,7.645954439437744,9.925741831295012,-7.211685222816412e-19,-2.0532869972472374e-18,-7.645954439437744,-9.925741831295012,-1.308770399720698e-18,-5.0909300333671465e-18,0.09954162514854373,1.5433140837391402e-19,3.948645851675841e-21
0.11999999999999998,7.862904893975947,9.916557410992283,-8.479363558413673e-19,-2.1794356573372696e-18,-7.862904893975947,-9.916557410992283,-1.668690475858663e-18,-6.0550361353357296e-18,0.09950639717935264,1.9070226628666515e-19,5.3513017386963824e-21
0.12999999999999998,8.058335769952173,9.906066544656063,-9.746452672550335e-19,-2.2225320160232958e-18,-8.058335769952173,-9.906066544656063,-2.0861064542012622e-18,-6.975307303973413e-18,0.09946474416017266,2.308751015209817e-19,7.02515365121336e-21
0.13999999999999999,8.234170601247412,9.894164826091526,-1.0933973922665332e-18,-2.133450989969424e-18,-8.234170601247412,-9.894164826091526,-2.551375430806361e-18,-7.705926836185432e-18,0.09941596763462683,2.731852734777938e-19,8.919421123361121e-21
0.15,8.392139937728974,9.880745773471451,-1.1923715780049298e-18,-1.999779994786982e-18,-8.392139937728974,-9.880745773471451,-3.041895851408607e-18,-8.52804316175167e-18,0.09935933584751988,3.178073454712156e-19,1.107592215504336e-20
0.16,8.533799512584967,9.865701030898753,-1.269206647645408e-18,-1.8564463482454872e-18,-8.533799512584967,-9.865701030898753,-3.563971794495929e-18,-9.594936681754839e-18,0.09929408506898342,3.6582957028861677e-19,1.3586469685733043e-20
0.17,8.660546699989533,9.848920569482749,-1.3250898937863016e-18,-1.7343550828868882e-18,-8.660546699989533,-9.848920569482749,-4.137893984901955e-18,-1.106819381100497e-17,0.09921942098106934,4.192524259832041e-19,1.6593930265545836e-20
0.18000000000000002,8.773635425749106,9.830292890614718,-1.3640366258891147e-18,-1.5383240099922819e-18,-8.773635425749106,-9.830292890614718,-4.797399210138859e-18,-1.2671597048172695e-17,0.09913452012311237,4.782156258023829e-19,2.0145893324575076e-20
0.19000000000000003,8.874189678357295,9.809705233826172,-1.3806222633641305e-18,-1.2583005423280608e-18,-8.874189678357295,-9.809705233826172,-5.546728207301824e-18,-1.4413347249766897e-17,0.09903853139468394,5.428461691623386e-19,2.4293918482531937e-20
0.20000000000000004,8.963215754083237,9.787043791342503,-1.368981812560053e-18,-8.861702520769647e-19,-8.963215754083237,-9.787043791342503,-6.3904985686743284e-18,-1.6299496465568204e-17,0.09893057761698702,6.132576183262602e-19,2.9091316862864114e-20
0.21000000000000005,9.041613357203197,9.762193931209834,-1.3230362178623947e-18,-4.136510997275649e-19,-9.041613357203197,-9.762193931209834,-7.333464393218997e-18,-1.8336013358959214e-17,0.0988097571551716,6.895491965689501e-19,3.459303010016311e-20
0.22000000000000006,9.110185665138799,9.735040430659511,-1.2364967820210104e-18,1.676996813167614e-19,-9.110185665138799,-9.735040430659511,-8.38049536098462e-18,-2.052875321038387e-17,0.09867514560533784,7.718047963199446e-19,4.085550358131461e-20
0.23000000000000007,9.169648457978285,9.705467721187228,-1.102869820985014e-18,8.664786536523408e-19,-9.169648457978285,-9.705467721187228,-9.536554944298374e-18,-2.2883426475914098e-17,0.09852579755099455,8.600918927099368e-19,4.793655376681982e-20
0.24000000000000007,9.220638402531318,9.673360146646578,-9.154615353515787e-19,1.6740252254779238e-18,-9.220638402531318,-9.673360146646578,-1.0806677700389274e-17,-2.5388313498242253e-17,0.09836074839448827,9.544610974101828e-19,5.587947656188065e-20
0.25000000000000006,9.26372057261259,9.63860223550121,-6.69039289229344e-19,2.6063926858123267e-18,-9.26372057261259,-9.63860223550121,-1.2194303812172241e-17,-2.8055803657840903e-17,0.09817901626945738,1.0549436174869578e-18,6.473655955916181e-20
0.26000000000000006,9.299395279584044,9.601078988224538,-3.5734072543680207e-19,3.6805363121787386e-18,-9.299395279584044,-9.601078988224538,-1.3703725091308301e-17,-3.089881667356789e-17,0.097979604040714,1.1615499147408823e-18,7.456891561878935e-20
0.2700000000000001,9.32810428023476,9.560676180698987,2.6914079116003782e-20,4.905617016553231e-18,-9.32810428023476,-9.560676180698987,-1.5340054403384263e-17,-3.392214656310672e-17,0.09776150139814886,1.2742685954403863e-18,8.543844412142965e-20
0.2800000000000001,9.35023642277522,9.517280684326575,4.91184047278079e-19,6.2909164095781374e-18,-9.35023642277522,-9.517280684326575,-1.7108374271597206e-17,-3.713026494299321e-17,0.0975236870513018,1.3930647830495079e-18,9.740766772692062e-20
0.2900000000000001,9.366132786006723,9.47078080343182,1.0431015535749563e-18,7.84582939840122e-18,-9.366132786006723,-9.47078080343182,-1.9013709083688986e-17,-4.0527281011531624e-17,0.09726513103116464,1.5178783727361456e-18,1.1053956241833576e-19
0.3000000000000001,9.376091361542313,9.421066630405727,1.690466699687296e-18,9.579857003469842e-18,-9.376091361542313,-9.421066630405727,-2.106099613561159e-17,-4.411690077498804e-17,0.09698479710559436,1.6486221658728397e-18,1.248973811976138e-19
0.3100000000000001,9.380371324251882,9.368030418911312,2.4412414511173087e-18,1.1502599290126162e-17,-9.380371324251882,-9.368030418911312,-2.3255055550611354e-17,-4.7902385376489366e-17,0.09668164531442536,1.7851798826140172e-18,1.4054447165436875e-19
0.3200000000000001,9.3791969318359,9.31156697533775,3.3035436591774895e-18,1.3623748497971837e-17,-9.3791969318359,-9.31156697533775,-2.560055909536121e-17,-5.188650872397737e-17,0.09635463462998668,1.927404051239425e-18,1.575440877363161e-19
0.3300000000000001,9.37276109055742,9.251574068560643,4.285640998034944e-18,1.59530824618647e-17,-9.37276109055742,-9.251574068560643,-2.8101997931397036e-17,-5.607151464266792e-17,0.09600272574826307,2.075113773633351e-18,1.7595919616504076e-19
0.34000000000000014,9.361228620643674,9.18795285792828,5.395944852647288e-18,1.8592712284641733e-17,-9.361228620643674,-9.18795285792828,-3.076364935792795e-17,-6.017241548031885e-17,0.09562488401538957,2.2262440599967216e-18,1.9576391243539015e-19
0.35000000000000014,9.34473925167189,9.120608339257178,6.651783315054839e-18,2.148482329380347e-17,-9.34473925167189,-9.120608339257178,-3.3562263474511267e-17,-6.430329344766105e-17,0.09522008249354606,2.379618669348955e-18,2.169602800685766e-19
