Time(s),AOA(deg),AeroFX(N),AeroFY(N),AeroFZ(N),AeroMX(Nm),AeroMY(Nm),AeroMZ(Nm),AirDensity(kg/m^3),AngularVelocityX(rad/s),AngularVelocityY(rad/s),AngularVelocityZ(rad/s),CGX(m),CGY(m),CGZ(m),CPZ(m),GravityFX(N),GravityFY(N),GravityFZ(N),LowerStage.FirstStageMotorFX(N),LowerStage.FirstStageMotorFY(N),LowerStage.FirstStageMotorFZ(N),LowerStage.FirstStageMotorMX(Nm),LowerStage.FirstStageMotorMY(Nm),LowerStage.FirstStageMotorMZ(Nm),LowerStage.TokenMassFX(N),LowerStage.TokenMassFY(N),LowerStage.TokenMassFZ(N),LowerStage.TokenMassMX(Nm),LowerStage.TokenMassMY(Nm),LowerStage.TokenMassMZ(Nm),LowerStage.firstStageEngineJetDampingFX(N),LowerStage.firstStageEngineJetDampingFY(N),LowerStage.firstStageEngineJetDampingFZ(N),LowerStage.firstStageEngineJetDampingMX(Nm),LowerStage.firstStageEngineJetDampingMY(Nm),LowerStage.firstStageEngineJetDampingMZ(Nm),MOIX(kg*m^2),MOIY(kg*m^2),MOIZ(kg*m^2),Mach,Mass(kg),OrientationQuaternion0,OrientationQuaternion1,OrientationQuaternion2,PositionX(m),PositionY(m),PositionZ(m),RollAngle(deg),TotalFX(N),TotalFY(N),TotalFZ(N),UnitRe,VelocityX(m/s),VelocityY(m/s),VelocityZ(m/s),WindX(m/s),WindY(m/s),WindZ(m/s)
134.17066236000002,8.695149509949541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016784305533499193,0.0,0.0,0.0,-16.000001,-16.000001,0.008260938271406087,0.0,-0.004476723449882267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,1e-05,1e-05,8.243896913800379,0.001,0.1575757789692452,0.1575757789692452,0.6893256660550481,6511074.421018055,307218.569238852,0.0,0.0,0.008260938271406087,0.0,-0.004476723449882267,0.0,640.3470335996824,2634.820376664265,0.0,-22.4027313702517,474.7950345162207,0.0
134.2371543237145,8.70333396182984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016784305533499193,0.0,0.0,0.0,-16.000001,-16.000001,0.008261190103237646,0.0,-0.004475950873852184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,1e-05,1e-05,8.24312940014929,0.001,0.157537313613076,0.157537313613076,0.6893344578791745,6511116.998949777,307393.7636197313,0.0,0.0,0.008261190103237646,0.0,-0.004475950873852184,0.0,639.7229717487908,2634.790930926657,0.0,-22.415506745979087,474.79813934796664,0.0
134.2704003055717,8.707426813175044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016784305533499193,0.0,0.0,0.0,-16.000001,-16.000001,0.008261316108380566,0.0,-0.004475564643157125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,1e-05,1e-05,8.242745804646296,0.001,0.15751808075092266,0.15751808075092266,0.6893388529863567,6511138.241233653,307481.3586075279,0.0,0.0,0.008261316108380566,0.0,-0.004475564643157125,0.0,639.4109526605025,2634.776189942755,0.0,-22.421894273223415,474.7996883597355,0.0
134.4366302148579,8.727900811317538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016784305533499193,0.0,0.0,0.0,-16.000001,-16.000001,0.008261945971758174,0.0,-0.0044736334913819484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,1e-05,1e-05,8.240829785910172,0.001,0.15742191460156585,0.15742191460156585,0.689360820472978,6511244.400798155,307919.3310777164,0.0,0.0,0.008261945971758174,0.0,-0.0044736334913819484,0.0,637.8508702191662,2634.7024648933434,0.0,-22.453831729417743,474.80742963726243,0.0
134.466182198731,8.73154218314226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016784305533499193,0.0,0.0,0.0,-16.000001,-16.000001,0.008262057965135832,0.0,-0.0044732902006800876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,1e-05,1e-05,8.24048948699781,0.001,0.15740481807646733,0.15740481807646733,0.6893647243994389,6511263.246472562,307997.19154761225,0.0,0.0,0.008262057965135832,0.0,-0.0044732902006800876,0.0,637.5735289563904,2634.689347675789,0.0,-22.459509404421993,474.8088038855127,0.0
134.50312217857237,8.736094549044637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016784305533499193,0.0,0.0,0.0,-16.000001,-16.000001,0.00826219796438965,0.0,-0.004472861098058832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,1e-05,1e-05,8.240064252404526,0.001,0.15738344728392017,0.15738344728392017,0.6893696037112672,6511286.792021352,308094.51661833725,0.0,0.0,0.00826219796438965,0.0,-0.004472861098058832,0.0,637.2268555043676,2634.6729466914526,0.0,-22.4666064605033,474.810520854008,0.0
134.50312217857237,8.73609454388496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016784305533499193,0.0,0.0,0.0,-16.000001,-16.000001,0.008262197964413246,0.0,-0.004472861098121146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,1e-05,1e-05,8.24006425267521,0.001,0.15738344728395048,0.15738344728395048,0.6893696037112602,6511286.7920025075,308094.51664713153,0.0,0.0,0.008262197964413246,0.0,-0.004472861098121146,0.0,637.2268557186308,2634.672946701564,0.0,-22.466606462602954,474.8105208526337,0.0
134.57029011487708,8.744374153248952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016784305533499193,0.0,0.0,0.0,-16.000001,-16.000001,0.008262452492508957,0.0,-0.004472080862469361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,1e-05,1e-05,8.239291461722866,0.001,0.15734458840117815,0.15734458840117815,0.6893784740625891,6511329.593215364,308271.4821917993,0.0,0.0,0.008262452492508957,0.0,-0.004472080862469361,0.0,636.5965025659932,2634.6431202853605,0.0,-22.479510993630583,474.8136419662964,0.0
134.60387408302944,8.748514595212479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016784305533499193,0.0,0.0,0.0,-16.000001,-16.000001,0.00826257984761579,0.0,-0.00447169080305372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,1e-05,1e-05,8.238905230994398,0.001,0.15732515877221323,0.15732515877221323,0.6893829084168667,6511350.946189832,308359.96271033207,0.0,0.0,0.00826257984761579,0.0,-0.00447169080305372,0.0,636.2813380290788,2634.6281885945436,0.0,-22.485963094794585,474.81519904975073,0.0
134.7717939237912,8.76922672612323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016784305533499193,0.0,0.0,0.0,-16.000001,-16.000001,0.008263216457544234,0.0,-0.004469740507464853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,1e-05,1e-05,8.236976078409528,0.001,0.15722800875352339,0.15722800875352339,0.6894050719739462,6511457.658152146,308802.362776702,0.0,0.0,0.008263216457544234,0.0,-0.004469740507464853,0.0,634.7055285646816,2634.553509601991,0.0,-22.51822341639445,474.8229806087615,0.0
134.80164633992663,8.772910461421505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016784305533499193,0.0,0.0,0.0,-16.000001,-16.000001,0.008263329650679871,0.0,-0.00446939381386445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,1e-05,1e-05,8.236633451616052,0.001,0.15721073731216845,0.15721073731216845,0.6894090107285836,6511476.601478471,308881.01034439454,0.0,0.0,0.008263329650679871,0.0,-0.00446939381386445,0.0,634.4253914994961,2634.540222580521,0.0,-22.52395848747517,474.8243619779019,0.0
134.8389618600959,8.777515793656296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016784305533499193,0.0,0.0,0.0,-16.000001,-16.000001,0.008263471149789538,0.0,-0.004468960457811473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,1e-05,1e-05,8.236205310164248,0.001,0.1571891478716896,0.1571891478716896,0.6894139335634087,6511500.268857109,308979.3192755684,0.0,0.0,0.008263471149789538,0.0,-0.004468960457811473,0.0,634.0752233506338,2634.5236092508653,0.0,-22.53112728779155,474.82608783036966,0.0
134.8389618600959,8.777515788333861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016784305533499193,0.0,0.0,0.0,-16.000001,-16.000001,0.008263471149813725,0.0,-0.004468960457875574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,1e-05,1e-05,8.236205310442317,0.001,0.15718914787172023,0.15718914787172023,0.6894139335634017,6511500.268837747,308979.31930524565,0.0,0.0,0.008263471149813725,0.0,-0.004468960457875574,0.0,634.0752235714541,2634.523609261315,0.0,-22.531127289955606,474.82608782895767,0.0
134.90683519874196,8.78589452917176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016784305533499193,0.0,0.0,0.0,-16.000001,-16.000001,0.008263728489956896,0.0,-0.004468172226214512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,1e-05,1e-05,8.235426984278472,0.001,0.1571498783628754,0.1571498783628754,0.6894228859927218,6511543.305640124,309158.1332183481,0.0,0.0,0.008263728489956896,0.0,-0.004468172226214512,0.0,633.4383043838666,2634.493386601573,0.0,-22.544166606135178,474.82922612207926,0.0
134.94077186806499,8.790084549380033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016784305533499193,0.0,0.0,0.0,-16.000001,-16.000001,0.008263857253019148,0.0,-0.004467778169943428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,1e-05,1e-05,8.235037989555224,0.001,0.15713024341715143,0.15713024341715143,0.6894273613685976,6511564.775407751,309247.53786717233,0.0,0.0,0.008263857253019148,0.0,-0.004467778169943428,0.0,633.1198570427965,2634.4782564013735,0.0,-22.550686095942808,474.8307917222249,0.0
