Time(s),AngularVelocityX(rad/s),AngularVelocityY(rad/s),AngularVelocityZ(rad/s),EstimatedIntegrationError,EulerAngleX(rad),EulerAngleY(rad),EulerAngleZ(rad),OrientationQuaternion0,OrientationQuaternion1,OrientationQuaternion2,PositionX(m),PositionY(m),PositionZ(m),TimeStep(s),VelocityX(m/s),VelocityY(m/s),VelocityZ(m/s)
0,0.0,0.0,0.0,3.766896212718802e-12,-3.141592653589793,-0.06981317007977325,1.5707963267948963,0.9993908270190958,0.0,0.03489949670250097,0.0,0.0,874.603032,0.01,0.0,0.0,0.0
0.01,0.0,0.0,0.0,8.128297689726832e-07,-3.141592653589793,-0.06981317007977325,1.5707963267948963,0.9993908270190958,0.0,0.03489949670250097,0.0,0.0,874.603032,0.010100049999623122,0.0,0.0,0.0
0.020100049999623122,0.0,0.0,0.0,1.7949517261851774e-11,-3.141592653589793,-0.06981317007977325,1.5707963267948963,0.9993908270190958,0.0,0.03489949670250097,1.2140306534930086e-06,0.0,874.6031699409135,0.010201120873207091,-0.00015528096803445784,0.0,-0.0011048814984148901
0.030301170872830213,0.0,0.0,0.0,2.148617245373213e-11,-3.141592653589793,-0.06981317007977325,1.5707963267948963,0.9993908270190958,0.0,0.03489949670250097,5.6101852028213835e-05,0.0,874.6036910362709,0.010303390096242732,0.008897472412586573,0.0,0.06330880581026728
0.040604560969072945,0.0,0.0,0.0,4.82185190217285e-10,-3.141592653589793,-0.06981317007977325,1.5707963267948963,0.9993908270190958,0.0,0.03489949670250097,0.0002535466699389007,0.0,874.6052277367833,0.010406790757658636,0.02744343803992008,0.0,0.19527020810737444
0.05101135172673158,0.0,0.0,0.0,2.0418038262146723e-11,-3.141592653589793,-0.06981317007977325,1.5707963267948963,0.9993908270190958,0.0,0.03489949670250097,0.0006967170736544,0.0,874.6085141378551,0.010511337359671094,0.055775155146964336,0.0,0.39686085019399187
0.061522689086402675,0.0,0.0,0.0,8.335595633480425e-12,-3.141592653589793,-0.06981317007977325,1.5707963267948963,0.9993908270190958,0.0,0.03489949670250097,0.0014949665982042846,0.0,874.6143283435339,0.010617044773390379,0.09419264903013715,0.0,0.6702155229802002
0.07213973385979305,0.0,0.0,0.0,1.189295089076943e-11,-3.141592653589793,-0.06981317007977325,1.5707963267948963,0.9993908270190958,0.0,0.03489949670250097,0.002764107562491496,0.0,874.6234944143522,0.0107239279581407,0.14300367082136595,0.0,1.0175239895521453
0.08286366181793375,0.0,0.0,0.0,6.812659422219439e-12,-3.141592653589793,-0.06981317007977325,1.5707963267948963,0.9993908270190958,0.0,0.03489949670250097,0.004626696580631544,0.0,874.6368843994339,0.010832002152203923,0.2025238982777946,0.0,1.441032413865039
0.09369566397013768,0.0,0.0,0.0,2.918504765814368e-05,-3.141592653589793,-0.06981317007977325,1.5707963267948963,0.9993908270190958,0.0,0.03489949670250097,0.0072123312826216455,0.0,874.6554204472682,0.010941282835174926,0.27307712066946604,0.0,1.9430446762873774
