AeroFX(N),AeroFY(N),AeroFZ(N),AeroMX(Nm),AeroMY(Nm),AeroMZ(Nm),Auto-AddedZeroLengthBoatTailFX(N),Auto-AddedZeroLengthBoatTailFY(N),Auto-AddedZeroLengthBoatTailFZ(N),Auto-AddedZeroLengthBoatTailMX(Nm),Auto-AddedZeroLengthBoatTailMY(Nm),Auto-AddedZeroLengthBoatTailMZ(Nm),GravityFX(N),GravityFY(N),GravityFZ(N),Sustainer.AltimeterMassFX(N),Sustainer.AltimeterMassFY(N),Sustainer.AltimeterMassFZ(N),Sustainer.AltimeterMassMX(Nm),Sustainer.AltimeterMassMY(Nm),Sustainer.AltimeterMassMZ(Nm),Sustainer.GeneralMassFX(N),Sustainer.GeneralMassFY(N),Sustainer.GeneralMassFZ(N),Sustainer.GeneralMassMX(Nm),Sustainer.GeneralMassMY(Nm),Sustainer.GeneralMassMZ(Nm),Sustainer.MotorFX(N),Sustainer.MotorFY(N),Sustainer.MotorFZ(N),Sustainer.MotorMX(Nm),Sustainer.MotorMY(Nm),Sustainer.MotorMZ(Nm),Sustainer.NoseconeFX(N),Sustainer.NoseconeFY(N),Sustainer.NoseconeFZ(N),Sustainer.NoseconeMX(Nm),Sustainer.NoseconeMY(Nm),Sustainer.NoseconeMZ(Nm),Sustainer.TailFinsFX(N),Sustainer.TailFinsFY(N),Sustainer.TailFinsFZ(N),Sustainer.TailFinsMX(Nm),Sustainer.TailFinsMY(Nm),Sustainer.TailFinsMZ(Nm),Sustainer.UpperBodyTubeFX(N),Sustainer.UpperBodyTubeFY(N),Sustainer.UpperBodyTubeFZ(N),Sustainer.UpperBodyTubeMX(Nm),Sustainer.UpperBodyTubeMY(Nm),Sustainer.UpperBodyTubeMZ(Nm),TotalFX(N),TotalFY(N),TotalFZ(N)
0.0539898277073818,5.202249311307132e-06,0.0299824950104404,-3.5972391693372175e-05,0.001323550951337,4.292342906371896e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.980090801244572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030156,0.0,0.0,0.0,0.0032366664313461,0.0,-4.4827338723624763e-08,0.0,0.0,-0.0,0.0148005378809594,5.202249311307132e-06,-0.0001732672768809,-3.6593504999100175e-05,-0.0002026027592382,4.292342906371896e-07,0.0359526233950762,0.0,-1.928853398601907e-07,0.0,0.0,0.0,0.0539898277073818,5.202249311307132e-06,-0.9501083062341316
0.0538464208011192,-1.1384198491455136e-05,0.0601433016126988,-3.812052896323338e-05,0.0013191822109343,2.2293931882739936e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9799646109865912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0603124999999999,0.0,0.0,0.0,0.0032288342739154,-4.213286923334725e-10,-3.27328526419891e-07,0.0,0.0,-1.2982955318485458e-12,0.0147621427966146,-1.1379098406921388e-05,-0.0001674627215217,-3.676217344942578e-05,-0.0002020375407443,2.229406940893494e-06,0.035855443730589,-4.678755841415762e-09,-1.408337253006134e-06,1.0674051170740812e-13,-1.4450137584141514e-10,-1.2454323968671503e-11,0.0538464208011192,-1.1384198491455136e-05,-0.9198213093738924
0.0538466075045361,-1.0909845063691428e-05,0.0601432241447475,-3.80539117990566e-05,0.0013191837597195,2.1698133422391105e-06,0.0,0.0,0.0,0.0,0.0,0.0,9.460535669536496e-06,2.57121832574868e-07,-0.9799646110141056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0603124999999999,0.0,0.0,0.0,0.0032287984550598,-1.28692814623584e-09,-3.098598676252761e-07,0.0,0.0,-6.7431335276613076e-12,0.0147621349973157,-1.089426685140893e-05,-0.0001676328187439,-3.675433068725738e-05,-0.0002020385487812,2.1698847710169755e-06,0.0358556740521606,-1.429128413626189e-08,-1.3331766408689177e-06,1.1988006528476462e-13,-1.435684716832764e-10,-6.468564433754676e-11,0.0538560680402057,-1.065272323111656e-05,-0.919821386869358
0.053708495122706,-2.7175293397169895e-05,0.0903006503204336,-4.011597079483654e-05,0.001314981373354,3.904052388209827e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.885746938626729e-05,5.447928790610431e-07,-0.97983842068876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.090469,0.0,0.0,0.0,0.0032226577147136,-2.1025504205049137e-08,-1.1137377257847478e-06,0.0,0.0,-1.3121115213578987e-11,0.0147270163245653,-2.692096752115543e-05,-0.0001624442591839,-3.692222741301269e-05,-0.0002015221390001,3.904191372780384e-06,0.035758821083427,-2.3330037180941825e-07,-4.791682656660939e-06,4.776700549505589e-13,-5.74176811621742e-10,-1.2586345534250572e-10,0.0537273525920923,-2.6630500518108856e-05,-0.8895377703683265
0.0537084910169489,-2.7067446300010207e-05,0.0903006491054937,-4.0118236628145177e-05,0.0013149812457651,3.903651577920712e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.8877865290220127e-05,5.342700749355068e-07,-0.979838420689923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.090469,0.0,0.0,0.0,0.0032226574842685,-1.4687759725256498e-08,-1.113736493369282e-06,0.0,0.0,-1.3234820542489731e-11,0.0147270149650509,-2.68897821961515e-05,-0.000162445480671,-3.6921776331922285e-05,-0.0002015221972163,3.903791766907334e-06,0.0357588185676294,-1.6297634413345006e-07,-4.791677341894248e-06,4.781420451202928e-13,-5.742001990207194e-10,-1.2695416607957506e-10,0.0537273688822391,-2.65331762250747e-05,-0.8895377715844293
0.0535753435564754,-4.2589883206702464e-05,0.1204537907879914,-4.2087017811901245e-05,0.0013109255074392,5.567987939707443e-06,0.0,0.0,0.0,0.0,0.0,0.0,3.773088477077717e-05,1.0781116361185109e-06,-0.979712230028524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1206245,0.0,0.0,0.0,0.0032180914343864,-3.491526229070002e-08,-2.423869692671659e-06,0.0,0.0,-2.503666084247336e-11,0.0146949974713478,-4.2168043893185805e-05,-0.0001578570709229,-3.708569883672365e-05,-0.0002010525066872,5.568253137790716e-06,0.035662254650741,-3.869240512259579e-07,-1.0428271392946813e-05,1.1143044454887174e-12,-1.2890277858381687e-09,-2.4016142243058285e-10,0.0536130744412461,-4.151177157058395e-05,-0.8592584392405327
0.0535751390410793,-4.243335864681462e-05,0.1204539310321581,-4.201545231851056e-05,0.0013109158194003,5.510076132142304e-06,0.0,0.0,0.0,0.0,0.0,0.0,4.712902981111591e-05,1.3644184161631929e-06,-0.9797122296896932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1206245,0.0,0.0,0.0,0.0032179434542591,-5.359979567809172e-08,-2.3714027084031457e-06,0.0,0.0,-3.006780956966685e-11,0.0146947632465063,-4.178574621107766e-05,-0.0001579950593069,-3.707876862946813e-05,-0.0002010499978796,5.5103946211092745e-06,0.0356624323403138,-5.940126400588649e-07,-1.0202505826459874e-05,1.1517797654889538e-12,-1.2864430475448966e-09,-2.88421157400965e-10,0.0536222680708904,-4.106894023065143e-05,-0.8592582986575351
0.0534462850624925,-5.774937843921248e-05,0.1506041208899079,-4.386934536630697e-05,0.0013069747852916,7.105266356978234e-06,0.0,0.0,0.0,0.0,0.0,0.0,7.531626033595963e-05,2.221392441072268e-06,-0.97958603787391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15078,0.0,0.0,0.0,0.0032147268676414,-1.0954886598658705e-07,-4.1356480386499934e-06,0.0,0.0,-4.656235944017151e-11,0.0146654739915905,-5.6427837278866784e-05,-0.0001539501766715,-3.723941562103803e-05,-0.0002006213160983,7.10575957344961e-06,0.0355660842032605,-1.2119922943591117e-06,-1.779328538186156e-05,2.1123416609967786e-12,-2.2819108317532203e-09,-4.46654111935185e-10,0.0535216013228284,-5.5527985998140217e-05,-0.8289819169840019
0.053446280437435,-5.765009968520622e-05,0.1506041197758677,-4.387143663486473e-05,0.0013069746954341,7.10490033226353e-06,0.0,0.0,0.0,0.0,0.0,0.0,7.533510488224077e-05,2.211854785557876e-06,-0.9795860378740322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15078,0.0,0.0,0.0,0.003214726619774,-1.0369678363139945e-07,-4.13564563409325e-06,0.0,0.0,-4.6667805301100637e-11,0.0146654722837862,-5.639915503335823e-05,-0.0001539513035122,-3.7238999623922407e-05,-0.0002006213630204,7.105394665679512e-06,0.0355660815338747,-1.1472478682165925e-06,-1.779327498587869e-05,2.113209696249624e-12,-2.2819522761849047e-09,-4.4766561068055804e-10,0.0535216155423172,-5.5438244899648345e-05,-0.8289819180981645
0.0533214355138216,-7.240618459987317e-05,0.1807509706959675,-4.560874157588816e-05,0.0013031259640701,8.628438930707835e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0001129110269241,3.3530460999991266e-06,-0.9794598442755544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.180935,0.0,0.0,0.0,0.0032127476213713,-1.780224929343392e-07,-6.336116862072757e-06,0.0,0.0,-6.818643048218924e-11,0.0146387720865545,-7.026272828514322e-05,-0.0001504311165425,-3.739398821536102e-05,-0.0002002319732097,8.629161237096742e-06,0.0354699158058956,-1.9654338217956045e-06,-2.7262070627857435e-05,3.425568163083862e-12,-3.556356539551565e-09,-6.541199584253847e-10,0.0534343465407458,-6.905313849987405e-05,-0.7987088735795871
