"part X,Y,Z",Forces & Moments,Magnitude Vectors of Forces and Moments
FirstStage.LowerPlumbingTubeFX(N),1.5369028783420855,
FirstStage.LowerPlumbingTubeFY(N),2.1394963810234362e-15,
FirstStage.LowerPlumbingTubeFZ(N),17.39030311473974,17.458084456204894
FirstStage.LowerPlumbingTubeMX(Nm),1.5743769786857164e-33,
FirstStage.LowerPlumbingTubeMY(Nm),0.0004923977771647,
FirstStage.LowerPlumbingTubeMZ(Nm),1.0050110403708744e-18,0.0004923977771647
FirstStage.MotorFX(N),0.0,
FirstStage.MotorFY(N),0.0,
FirstStage.MotorFZ(N),5240.380781991492,5240.380781991492
FirstStage.MotorMX(Nm),0.0,
FirstStage.MotorMY(Nm),0.0,
FirstStage.MotorMZ(Nm),0.0,0.0
FirstStage.NoseConeShellFX(N),7.446529771923811,
FirstStage.NoseConeShellFY(N),2.3776936394471183e-14,
FirstStage.NoseConeShellFZ(N),47.84342798979548,48.41946310585128
FirstStage.NoseConeShellMX(Nm),0.0,
FirstStage.NoseConeShellMY(Nm),0.0,
FirstStage.NoseConeShellMZ(Nm),5.152063901367491e-19,5.152063901367491e-19
FirstStage.NozzleFX(N),0.0,
FirstStage.NozzleFY(N),0.0,
FirstStage.NozzleFZ(N),0.0,0.0
FirstStage.NozzleHousingMassFX(N),0.0,
FirstStage.NozzleHousingMassFY(N),0.0,
FirstStage.NozzleHousingMassFZ(N),0.0,0.0
FirstStage.NozzleHousingMassMX(Nm),0.0,
FirstStage.NozzleHousingMassMY(Nm),0.0,
FirstStage.NozzleHousingMassMZ(Nm),0.0,0.0
FirstStage.NozzleMX(Nm),0.0,
FirstStage.NozzleMY(Nm),0.0,
FirstStage.NozzleMZ(Nm),0.0,0.0
FirstStage.PayloadFX(N),0.0,
FirstStage.PayloadFY(N),0.0,
FirstStage.PayloadFZ(N),0.0,0.0
FirstStage.PayloadMX(Nm),0.0,
FirstStage.PayloadMY(Nm),0.0,
FirstStage.PayloadMZ(Nm),0.0,0.0
FirstStage.PressureVesselFX(N),5.654367092461378,
FirstStage.PressureVesselFY(N),7.871348347235285e-15,
FirstStage.PressureVesselFZ(N),90.14565785862224,90.32281825751504
FirstStage.PressureVesselMX(Nm),7.3235308971682585e-34,
FirstStage.PressureVesselMY(Nm),0.0002290487210866,
FirstStage.PressureVesselMZ(Nm),5.209649354105967e-18,0.0002290487210866
FirstStage.RecoveryBulkheadFX(N),0.0,
FirstStage.RecoveryBulkheadFY(N),0.0,
FirstStage.RecoveryBulkheadFZ(N),0.0,0.0
FirstStage.RecoveryBulkheadMX(Nm),0.0,
FirstStage.RecoveryBulkheadMY(Nm),0.0,
FirstStage.RecoveryBulkheadMZ(Nm),0.0,0.0
FirstStage.RecoverySystemFX(N),0.0,
FirstStage.RecoverySystemFY(N),0.0,
FirstStage.RecoverySystemFZ(N),0.0,0.0
FirstStage.RecoverySystemMX(Nm),0.0,
FirstStage.RecoverySystemMY(Nm),0.0,
FirstStage.RecoverySystemMZ(Nm),0.0,0.0
FirstStage.RecoveryTubeFX(N),3.84608241344544,
FirstStage.RecoveryTubeFY(N),5.354065972965697e-15,
FirstStage.RecoveryTubeFZ(N),36.224707009117495,36.42830970313364
FirstStage.RecoveryTubeMX(Nm),2.4481880059189658e-32,
FirstStage.RecoveryTubeMY(Nm),0.0076568849044155,
FirstStage.RecoveryTubeMZ(Nm),2.0934787759683127e-18,0.0076568849044155
FirstStage.UpperBulkheadCasingFX(N),0.0,
FirstStage.UpperBulkheadCasingFY(N),0.0,
FirstStage.UpperBulkheadCasingFZ(N),0.0,0.0
FirstStage.UpperBulkheadCasingMX(Nm),0.0,
FirstStage.UpperBulkheadCasingMY(Nm),0.0,
FirstStage.UpperBulkheadCasingMZ(Nm),0.0,0.0
FirstStage.UpperPVBulkheadFX(N),0.0,
FirstStage.UpperPVBulkheadFY(N),0.0,
FirstStage.UpperPVBulkheadFZ(N),0.0,0.0
FirstStage.UpperPVBulkheadMX(Nm),0.0,
FirstStage.UpperPVBulkheadMY(Nm),0.0,
FirstStage.UpperPVBulkheadMZ(Nm),0.0,0.0
FirstStage.intermediateTubeFX(N),1.9752032647712563,
FirstStage.intermediateTubeFY(N),2.7496469011252405e-15,
FirstStage.intermediateTubeFZ(N),21.2558975663612,21.347473135919458
FirstStage.intermediateTubeMX(Nm),4.3231438598954536e-33,
FirstStage.intermediateTubeMY(Nm),0.0013520944829571,
FirstStage.intermediateTubeMZ(Nm),1.2284093949506249e-18,0.0013520944829571
GravityFX(N),352.8383965053607,
GravityFY(N),5.770289590824227e-13,
GravityFZ(N),504.46231535697126,615.6112098262917
TotalFX(N),317.2576263520729,
TotalFY(N),5.258761221080213e-13,
TotalFZ(N),4725.994076077913,4736.630913276025
