Time(s),AngularVelocityX(rad/s),AngularVelocityY(rad/s),AngularVelocityZ(rad/s),EstimatedIntegrationError,EulerAngleX(rad),EulerAngleY(rad),EulerAngleZ(rad),OrientationQuaternion0,OrientationQuaternion1,OrientationQuaternion2,PositionX(m),PositionY(m),PositionZ(m),TimeStep(s),VelocityX(m/s),VelocityY(m/s),VelocityZ(m/s)
0,0.0,0.0,0.0,2.280742778276203e-11,-3.141592653589793,-0.05235987755982997,1.5707963267948966,0.9996573249755574,0.0,0.026176948307873156,0.0,0.0,874.603032,0.01,0.0,0.0,0.0
0.01,0.0,0.0,0.0,8.324257583728271e-07,-3.141592653589793,-0.05235987755982997,1.5707963267948966,0.9996573249755574,0.0,0.026176948307873156,0.0,0.0,874.603032,0.010100049997718118,0.0,0.0,0.0
0.020100049997718118,0.0,0.0,0.0,6.432677081837564e-08,-3.141592653589793,-0.05235987755982997,1.5707963267948966,0.9996573249755574,0.0,0.026176948307873156,0.0,0.0,874.603032,0.01020111889107684,0.0,0.0,0.0
0.030301168888794958,0.0,0.0,0.0,1.1268186696397686e-10,-3.141592653589793,-0.05235987755982997,1.5707963267948966,0.9996573249755574,0.0,0.026176948307873156,3.1202662967387054e-05,0.0,874.6033880368211,0.010303381528624353,0.006118220878078573,0.0,0.05821098324547329
0.04060455041741931,0.0,0.0,0.0,1.3961615550484069e-09,-3.141592653589793,-0.05235987755982997,1.5707963267948966,0.9996573249755574,0.0,0.026176948307873156,0.00016148205854483422,0.0,874.6046873717468,0.010406782085704759,0.01909612073737403,0.0,0.18168745235721423
0.05101133250312407,0.0,0.0,0.0,4.300183201143916e-12,-3.141592653589793,-0.05235987755982997,1.5707963267948966,0.9996573249755574,0.0,0.026176948307873156,0.00046480515085429335,0.0,874.6076337615301,0.010511328496290578,0.03914581347790859,0.0,0.3724475362858408
0.06152266099941465,0.0,0.0,0.0,1.0410362175258763e-11,-3.141592653589793,-0.05235987755982997,1.5707963267948966,0.9996573249755574,0.0,0.026176948307873156,0.0010201110987740482,0.0,874.6129782708415,0.010617035813141558,0.06648475791007331,0.0,0.6325602174071954
0.0721396968125562,0.0,0.0,0.0,3.865367433675657e-12,-3.141592653589793,-0.05235987755982997,1.5707963267948966,0.9996573249755574,0.0,0.026176948307873156,0.0019110123298483595,0.0,874.6215164272427,0.010723918897850654,0.10133606868241685,0.0,0.9641482898026452
0.08286361571040686,0.0,0.0,0.0,2.1431225086676382e-11,-3.141592653589793,-0.05235987755982997,1.5707963267948966,0.9996573249755574,0.0,0.026176948307873156,0.0032260018062828097,0.0,874.6340901934209,0.010831992991655867,0.1439286289936596,0.0,1.369389431642265
0.09369560870206273,0.0,0.0,0.0,1.8862594479518918e-10,-3.141592653589793,-0.05235987755982997,1.5707963267948966,0.9996573249755574,0.0,0.026176948307873156,0.005058668100600545,0.0,874.6515900141012,0.01094127357061643,0.19449719654077924,0.0,1.8505172132135337
0.10463688227267916,0.0,0.0,0.0,9.735906768286949e-13,-3.141592653589793,-0.05235987755982997,1.5707963267948966,0.9996573249755574,0.0,0.026176948307873156,0.007507918908395899,0.0,874.6749569421678,0.011051776340214939,0.25328255444553455,0.0,2.4098225328912903
0.1156886586128941,0.0,0.0,0.0,1.201795496336707e-06,-3.141592653589793,-0.05235987755982997,1.5707963267948966,0.9996573249755574,0.0,0.026176948307873156,0.010678213756345803,0.0,874.705184852537,0.011163517308931559,0.32053168263583487,0.0,3.049655247722542
0.12685217592182566,0.0,0.0,0.0,3.701349586071066e-08,-3.141592653589793,-0.05235987755982997,1.5707963267948966,0.9996573249755574,0.0,0.026176948307873156,0.014679745892303146,0.0,874.7433221730628,0.011276378441465007,0.3964679119404228,0.0,3.772140208605809
0.13812855436329066,0.0,0.0,0.0,3.895284810712691e-11,-3.141592653589793,-0.05235987755982997,1.5707963267948966,0.9996573249755574,0.0,0.026176948307873156,0.01962727584588642,0.0,874.7904607859219,0.011390639002726799,0.4811383486229013,0.0,4.5777256017010854
0.14951919336601746,0.0,0.0,0.0,2.6036672546694245e-05,-3.141592653589793,-0.05235987755982997,1.5707963267948966,0.9996573249755574,0.0,0.026176948307873156,0.025640168762516867,0.0,874.8477363843443,0.01150619129193517,0.5747520051650387,0.0,5.4684000479354
0.16102538465795263,0.0,0.0,0.0,5.851003936300739e-11,-3.141592653589793,-0.05235987755982997,1.5707963267948966,0.9996573249755574,0.0,0.026176948307873156,0.032838321565962565,0.0,874.9162897218014,0.011620050644891772,0.6754056978371462,0.0,6.4260559636811445
0.1726454353028444,0.0,0.0,0.0,2.1062901671997272e-12,-3.141592653589793,-0.05235987755982997,1.5707963267948966,0.9996573249755574,0.0,0.026176948307873156,0.041285688653333985,0.0,874.9967292758535,0.011738195426964831,0.7773048554786619,0.0,7.395561687060805
0.18438363072980923,0.0,0.0,0.0,2.5683374388204778e-11,-3.141592653589793,-0.05235987755982997,1.5707963267948966,0.9996573249755574,0.0,0.026176948307873156,0.05102144521209854,0.0,875.089427800173,0.01185767921678102,0.8802916348613472,0.0,8.37541544007429
0.19624130994659025,0.0,0.0,0.0,1.0905138378635339e-10,-3.141592653589793,-0.05235987755982997,1.5707963267948966,0.9996573249755574,0.0,0.026176948307873156,0.062084018060348405,0.0,875.1947509121771,0.011978519840963237,0.9843788857289184,0.0,9.365739479866459
0.2082198297875535,0.0,0.0,0.0,3.2272633584745565e-11,-3.141592653589793,-0.05235987755982997,1.5707963267948966,0.9996573249755574,0.0,0.026176948307873156,0.07451281778154392,0.0,875.3130735884571,0.012100735416852998,1.0895800189062168,0.0,10.366661401912483
0.2203205652044065,0.0,0.0,0.0,3.0079007933342274e-11,-3.141592653589793,-0.05235987755982997,1.5707963267948966,0.9996573249755574,0.0,0.026176948307873156,0.08834826681000515,0.0,875.4447804336168,0.012224344382465113,1.1959086107169132,0.0,11.378310376303714
0.2325449095868716,0.0,0.0,0.0,4.4894571861760725e-12,-3.141592653589793,-0.05235987755982997,1.5707963267948966,0.9996573249755574,0.0,0.026176948307873156,0.10363182378051747,0.0,875.5902659103533,0.01234936544804327,1.3033782662310003,0.0,12.40081584663449
0.24489427503491487,0.0,0.0,0.0,5.7484526595313467e-11,-3.141592653589793,-0.05235987755982997,1.5707963267948966,0.9996573249755574,0.0,0.026176948307873156,0.12040600885909561,0.0,875.7499345824353,0.012475817641611847,1.4120026785499573,0.0,13.434308094062793
0.2573700926765267,0.0,0.0,0.0,6.251154670508286e-11,-3.141592653589793,-0.05235987755982997,1.5707963267948966,0.9996573249755574,0.0,0.026176948307873156,0.1387144298607308,0.0,875.9242013610827,0.012603720290694065,1.5217956690479417,0.0,14.478918620179615
0.2699738129672208,0.0,0.0,0.0,1.045538922451013e-11,-3.141592653589793,-0.05235987755982997,1.5707963267948966,0.9996573249755574,0.0,0.026176948307873156,0.15860181013537616,0.0,876.1134917722403,0.0127330930566657,1.632771237061816,0.0,15.534780619777981
