Time(s),AOA(deg),AeroFX(N),AeroFY(N),AeroFZ(N),AeroMX(Nm),AeroMY(Nm),AeroMZ(Nm),AirDensity(kg/m^3),AngularVelocityX(rad/s),AngularVelocityY(rad/s),AngularVelocityZ(rad/s),Auto-AddedZeroLengthBoatTailFX(N),Auto-AddedZeroLengthBoatTailFY(N),Auto-AddedZeroLengthBoatTailFZ(N),Auto-AddedZeroLengthBoatTailMX(Nm),Auto-AddedZeroLengthBoatTailMY(Nm),Auto-AddedZeroLengthBoatTailMZ(Nm),CGX(m),CGY(m),CGZ(m),CPZ(m),FirstStage.AvionicsBayFX(N),FirstStage.AvionicsBayFY(N),FirstStage.AvionicsBayFZ(N),FirstStage.AvionicsBayMX(Nm),FirstStage.AvionicsBayMY(Nm),FirstStage.AvionicsBayMZ(Nm),FirstStage.AvionicsTubeFX(N),FirstStage.AvionicsTubeFY(N),FirstStage.AvionicsTubeFZ(N),FirstStage.AvionicsTubeMX(Nm),FirstStage.AvionicsTubeMY(Nm),FirstStage.AvionicsTubeMZ(Nm),FirstStage.BallastFX(N),FirstStage.BallastFY(N),FirstStage.BallastFZ(N),FirstStage.BallastMX(Nm),FirstStage.BallastMY(Nm),FirstStage.BallastMZ(Nm),FirstStage.FinCanFX(N),FirstStage.FinCanFY(N),FirstStage.FinCanFZ(N),FirstStage.FinCanMX(Nm),FirstStage.FinCanMY(Nm),FirstStage.FinCanMZ(Nm),FirstStage.FinsFX(N),FirstStage.FinsFY(N),FirstStage.FinsFZ(N),FirstStage.FinsMX(Nm),FirstStage.FinsMY(Nm),FirstStage.FinsMZ(Nm),FirstStage.MotorAssemblyFX(N),FirstStage.MotorAssemblyFY(N),FirstStage.MotorAssemblyFZ(N),FirstStage.MotorAssemblyMX(Nm),FirstStage.MotorAssemblyMY(Nm),FirstStage.MotorAssemblyMZ(Nm),FirstStage.MotorFX(N),FirstStage.MotorFY(N),FirstStage.MotorFZ(N),FirstStage.MotorMX(Nm),FirstStage.MotorMY(Nm),FirstStage.MotorMZ(Nm),FirstStage.NoseConeShellFX(N),FirstStage.NoseConeShellFY(N),FirstStage.NoseConeShellFZ(N),FirstStage.NoseConeShellMX(Nm),FirstStage.NoseConeShellMY(Nm),FirstStage.NoseConeShellMZ(Nm),FirstStage.NoseConeTubeFX(N),FirstStage.NoseConeTubeFY(N),FirstStage.NoseConeTubeFZ(N),FirstStage.NoseConeTubeMX(Nm),FirstStage.NoseConeTubeMY(Nm),FirstStage.NoseConeTubeMZ(Nm),FirstStage.PVTubeFX(N),FirstStage.PVTubeFY(N),FirstStage.PVTubeFZ(N),FirstStage.PVTubeMX(Nm),FirstStage.PVTubeMY(Nm),FirstStage.PVTubeMZ(Nm),FirstStage.PayloadFX(N),FirstStage.PayloadFY(N),FirstStage.PayloadFZ(N),FirstStage.PayloadMX(Nm),FirstStage.PayloadMY(Nm),FirstStage.PayloadMZ(Nm),FirstStage.RecoverySystemFX(N),FirstStage.RecoverySystemFY(N),FirstStage.RecoverySystemFZ(N),FirstStage.RecoverySystemMX(Nm),FirstStage.RecoverySystemMY(Nm),FirstStage.RecoverySystemMZ(Nm),FirstStage.RecoveryTubeFX(N),FirstStage.RecoveryTubeFY(N),FirstStage.RecoveryTubeFZ(N),FirstStage.RecoveryTubeMX(Nm),FirstStage.RecoveryTubeMY(Nm),FirstStage.RecoveryTubeMZ(Nm),FirstStage.UpperCasingFX(N),FirstStage.UpperCasingFY(N),FirstStage.UpperCasingFZ(N),FirstStage.UpperCasingMX(Nm),FirstStage.UpperCasingMY(Nm),FirstStage.UpperCasingMZ(Nm),FirstStage.intermediateTubeFX(N),FirstStage.intermediateTubeFY(N),FirstStage.intermediateTubeFZ(N),FirstStage.intermediateTubeMX(Nm),FirstStage.intermediateTubeMY(Nm),FirstStage.intermediateTubeMZ(Nm),GravityFX(N),GravityFY(N),GravityFZ(N),MOIX(kg*m^2),MOIY(kg*m^2),MOIZ(kg*m^2),Mach,Mass(kg),OrientationQuaternion0,OrientationQuaternion1,OrientationQuaternion2,PositionX(m),PositionY(m),PositionZ(m),RollAngle(deg),TotalFX(N),TotalFY(N),TotalFZ(N),UnitRe,VelocityX(m/s),VelocityY(m/s),VelocityZ(m/s),WindX(m/s),WindY(m/s),WindZ(m/s)
0,92.21617597076282,4.509478823933994,0.017306848386206115,-0.007419844681175955,0.002835350976259054,-0.6325963464347202,-0.00015544229648975505,1.1233853149578374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.324808027590679,-2.465089850640994,0.0,0.0,0.0,0.0,0.0,0.0,0.5451477169335771,0.002058517782820819,-4.4385330048749876e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8158417556868017,0.003080678337049088,-6.0122295338129e-05,0.0,0.0,0.0,0.7239608476453888,0.0030124547212915347,-0.0070623517451610645,0.0003533633671209003,-0.08291734910210077,-0.00015544229648975505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2256563892195067,0.0008520950846650786,-7.286214653616361e-05,0.0,0.0,-0.0,0.22369854591412305,0.0008447021246747498,-2.3145381611826143e-05,0.0,0.0,0.0,0.9963044481889515,0.003762118706534601,-7.000613295308709e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5729690486943253,0.0021635731731165027,-4.6067310923529596e-05,0.0,0.0,0.0,0.053715848315093004,0.00020283498497967211,-8.768724568324037e-06,0.0,0.0,0.0,0.3521842233362265,0.0013298734710740707,-3.213561403508164e-05,0.0,0.0,0.0,13.613238261695203,0.0,-389.8321388625816,58.34503147445707,58.46197195445707,0.39750495423862503,0.008940734981593626,39.73208823529412,0.9998476951563913,0.0,0.01745240643728351,0.0,0.0,893.0,180.21635203958562,-13.574843456704276,-0.0,-388.73265550211323,192210.6173054126,0.0,0.0,0.0,3.0113627021464726,0.011362702146472793,0.011362702146472793
0.002,92.6186412747816,4.516468001493036,0.019842803434800188,-1.5871634358054016,0.0032505924580768274,-0.6337960372532772,-0.0001779584033667972,1.1233853078047578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.32474296241389,-2.4650734340502725,0.0,0.0,0.0,0.0,0.0,0.0,0.5459752562049224,0.0023601749336825506,-6.125197711986447e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8170802110101252,0.003532123866269748,-8.297014789097085e-05,0.0,0.0,0.0,0.7251365448002112,0.0034534059892683336,-0.007080933779113007,0.00040508388838138764,-0.08305243516662539,-0.0001779584033667972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5795891609525259,0.0,0.0,0.0,0.2260659668422496,0.0009772516652284465,-0.00010054927148704498,0.0,0.0,-0.0,0.22403812237374401,0.0009684855762352535,-3.193965369201951e-05,0.0,0.0,0.0,0.9978168475469272,0.004313423154661214,-9.661064982526411e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5738388210043461,0.0024806252406429016,-6.357322584915699e-05,0.0,0.0,0.0,0.05379738946915744,0.00023255861631027205,-1.2099536189384615e-05,0.0,0.0,0.0,0.3527188422413524,0.0015247543925014683,-4.4346611709139815e-05,0.0,0.0,0.0,13.61207602098045,0.0,-389.7988566430982,58.34305182548538,58.45999230548538,0.39749603621879503,0.008950182160145773,39.728696078431376,0.9998476951563913,0.0,0.01745240643728351,2.2701258117772694e-06,0.0,893.0000650078978,180.247680126057,-13.628774205675212,-0.0,-390.2770300893823,192413.71445509046,-0.0013658052854920648,0.0,-0.019531925559475173,3.0130179120203207,0.013017912020320732,0.013017912020320732
0.003,92.82124240398856,4.5199842420448295,0.02111220947793686,4.336209590786051,0.003458322329959471,-0.634394358745936,-0.0001891862019255397,1.1233853090594916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3247104165986854,-2.465064151816766,0.0,0.0,0.0,0.0,0.0,0.0,0.5463904564412607,0.0025111772846875585,-7.086164264311079e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81770157963968,0.0037581066950151745,-9.59877705794943e-05,0.0,0.0,0.0,0.725731565758329,0.0036740550945065856,-0.0070908660921502435,0.00043096403640022554,-0.08312082440380134,-0.0001891862019255397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3438711963885055,0.0,0.0,0.0,0.2262758930995131,0.00103995023362011,-0.00011632367513208791,0.0,0.0,-0.0,0.22420849764313805,0.0010304486099235153,-3.694992989334645e-05,0.0,0.0,0.0,0.9985756617719592,0.004589392968566919,-0.00011176875059115883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5742752107699872,0.002639333918526786,-7.354713026385957e-05,0.0,0.0,0.0,0.053838301009686305,0.00024743755486188624,-1.3996991703660587e-05,0.0,0.0,0.0,0.35298707591127654,0.0016223071182283246,-5.130361949760721e-05,0.0,0.0,0.0,13.61149490081068,0.0,-389.7822155387289,58.34206124461407,58.45900172461407,0.39749157720888006,0.008955094389984234,39.727000000000004,0.9998476951563913,0.0,0.01745240643728351,3.335147150806265e-07,0.0,893.000053604758,180.26332606160446,-13.4215934108893,-0.0,-384.34414837453716,192519.3192539647,-0.0020549440424230676,0.0,-0.029387068926910773,3.013845516957245,0.0138455169572447,0.0138455169572447
0.008,93.7194906137523,4.537001483730612,0.02747156339266144,-7.511175593603295,0.004498247234349757,-0.6372979724686048,-0.0002450904954003699,1.1233853210501403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.324547555209377,-2.465015184813141,0.0,0.0,0.0,0.0,0.0,0.0,0.5483945423769313,0.0032676835856851895,-0.00012272333292888047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8207007979020282,0.004890257504094388,-0.00016624417481564654,0.0,0.0,0.0,0.7286284635803525,0.004778853957275144,-0.007141646039023716,0.000560543131299252,-0.08345386981614115,-0.0002450904954003699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.503045504460782,0.0,0.0,0.0,0.2273093830373141,0.001354453924001167,-0.00020145335517985638,0.0,0.0,-0.0,0.2250308639408787,0.0013408770575742675,-6.398693524064542e-05,0.0,0.0,0.0,1.0022383015854262,0.005971973449700519,-0.00019357873771685353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5763815741947885,0.0034344481272994692,-0.00012737480760557137,0.0,0.0,0.0,0.054035772580761414,0.0003219795119343252,-2.423403338023068e-05,0.0,0.0,0.0,0.3542817845321312,0.0021110362750969666,-8.884772662185074e-05,0.0,0.0,0.0,13.608589300183692,0.0,-389.6990100232355,58.33710077179363,58.454041251793626,0.39746928215930516,0.008979575214798129,39.71851960784314,0.9998476951563913,0.0,0.01745240643728351,-1.2984240386740729e-05,0.0,892.9999446325404,180.34140066685634,-13.83189006836237,-0.0,-396.09350737906965,193045.61733145907,-0.005088708117630323,0.0,-0.072771916468052,3.0179835416418643,0.01798354164186455,0.01798354164186455
0.008888888888888889,93.69869714701738,4.538940324796634,0.028601524014318216,0.21126709057121454,0.004684270764970836,-0.6377093754539673,-0.00025520108094720384,1.1233853282585018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3245185789799465,-2.4650169167628624,0.0,0.0,0.0,0.0,0.0,0.0,0.5486301467468833,0.003402087102539695,-0.0001214042096764961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8210533920280945,0.0050913993189731985,-0.00016445764542386451,0.0,0.0,0.0,0.728936479876569,0.00497547098335098,-0.007143701407214449,0.0005836051642479148,-0.08348911910529547,-0.00025520108094720384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21938861020125078,0.0,0.0,0.0,0.22740169096061147,0.0014101309680121194,-0.00019928767447417798,0.0,0.0,-0.0,0.2251275429754452,0.001396028845524909,-6.32987635025392e-05,0.0,0.0,0.0,1.0026688888822353,0.006217607463262202,-0.00019149866816112378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5766292025118966,0.003575710858117583,-0.00012600572519843895,0.0,0.0,0.0,0.054058987735490324,0.00033522289294852343,-2.3973062916716978e-05,0.0,0.0,0.0,0.3544339930794089,0.002197865581589006,-8.789247346843107e-05,0.0,0.0,0.0,13.608072749158165,0.0,-389.68421793723485,58.336217588678196,58.45315806867819,0.3974653185949363,0.008981299217935895,39.71701198257081,0.9998476951563913,0.0,0.01745240643728351,-1.857890939466973e-05,0.0,892.9998791222437,180.35528987101924,-13.562027228999915,-0.0,-388.36564675943964,193082.68162820107,-0.00496176145768372,0.0,-0.07095649465175115,3.0187191904746857,0.018719190474685857,0.018719190474685857
0.01,93.96607616005782,4.543166469573999,0.030019733331085287,1.5713049738954494,0.00491526043212394,-0.6383895480255142,-0.00026744514575922224,1.1233853368776554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3244823488863577,-2.4649997958274334,0.0,0.0,0.0,0.0,0.0,0.0,0.5491224330877233,0.0035708155479688116,-0.00013969146487905642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8217901240002479,0.0053439101648912555,-0.00018923186451409718,0.0,0.0,0.0,0.7296727420942271,0.005221470004642532,-0.007159080851726235,0.0006124556123371116,-0.08357387418469159,-0.00026744514575922224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5795891612685853,0.0,0.0,0.0,0.2276769012761552,0.0014805299692798712,-0.0002293052005496393,0.0,0.0,-0.0,0.22532955012910025,0.0014652656903734087,-7.283173990335954e-05,0.0,0.0,0.0,1.0035685846085978,0.006525973242839552,-0.00022034735147434894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5771466124315106,0.00375305027248584,-0.00014498628738338597,0.0,0.0,0.0,0.05410749491545413,0.0003518484630455476,-2.758193942283931e-05,0.0,0.0,0.0,0.3547520270309825,0.0023068699755584713,-0.00010113067328281365,0.0,0.0,0.0,13.607427060361033,0.0,-389.6657278292983,58.3351130485639,58.452053528563894,0.3974603641394752,0.008988145675348513,39.7151274509804,0.9998476951563913,0.0,0.01745240643728351,-2.5323879076109918e-05,0.0,892.9998007905252,180.37257588519972,-13.513942242280544,-0.0,-386.9886729006381,193229.8702209192,-0.005889651242091945,0.0,-0.08422593678158549,3.0196387515157124,0.01963875151571249,0.01963875151571249
0.01,94.23267923796305,4.544816962428699,0.030024333908633415,1.5711352845238884,0.004913494155370101,-0.6385363131579929,-0.0002670499300888099,1.1233853327681529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3244823488863577,-2.464981055557052,0.0,0.0,0.0,0.0,0.0,0.0,0.5493022812209964,0.0035714002365073126,-0.00015922690083479516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8220592760341809,0.005344785181531632,-0.0002156966983941548,0.0,0.0,0.0,0.7299982774710108,0.005221516189751474,-0.007171428597198428,0.0006124573959188843,-0.08361161209591769,-0.0002670499300888099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5795891612685853,0.0,0.0,0.0,0.2278274349396493,0.0014812662951584634,-0.000261371806405942,0.0,0.0,-0.0,0.22540334988033991,0.0014655056142909315,-8.301571192679683e-05,0.0,0.0,0.0,1.0038972725763038,0.0065270418115478445,-0.0002511645187651226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5773356390212403,0.0037536648003014777,-0.00016526231897409473,0.0,0.0,0.0,0.054125216158241285,0.0003519060750282636,-3.143754581945907e-05,0.0,0.0,0.0,0.35486821512673683,0.0023072477045160164,-0.00011527264637798571,0.0,0.0,0.0,13.60742706020152,0.0,-389.6657278247304,58.3351130485639,58.452053528563894,0.3974603641394752,0.008992615871038232,39.7151274509804,0.9998476951563913,0.0,0.01745240643728351,-2.271225416008624e-05,0.0,892.9998381380882,180.3725148870556,-13.513946150328694,-0.0,-386.98878481249477,193325.97117738903,-0.006878127469191976,0.0,-0.09836180540803707,3.0196387515157124,0.01963875151571249,0.01963875151571249
0.012018592825831231,92.77596557561924,4.540642497397938,0.03256786828233327,12.504220779184005,0.005344759367961659,-0.6386532191263268,-0.00029189669443711874,1.123385329566223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3244165005753454,-2.4650703175286433,0.0,0.0,0.0,0.0,0.0,0.0,0.5488887017147844,0.003873754467010068,-6.8933674469302e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8214403329110911,0.005797273926490929,-9.337877105113081e-05,0.0,0.0,0.0,0.7290502500853479,0.005667747277254859,-0.007118958971239662,0.0006648149269105137,-0.08350090665055132,-0.00029189669443711874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.511894946964341,0.0,0.0,0.0,0.22730170712352038,0.0016041703911520583,-0.00011315675129862897,0.0,0.0,-0.0,0.22523363966917015,0.001589575108876545,-3.5942007057973816e-05,0.0,0.0,0.0,1.0031414203752957,0.007079620232811504,-0.0001087322030304751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5769009526988493,0.004071449522567824,-7.154635237285909e-05,0.0,0.0,0.0,0.054084464315517125,0.00038169839274073347,-1.3612941303572907e-05,0.0,0.0,0.0,0.3546010285043616,0.0025025789634287453,-4.990610851193294e-05,0.0,0.0,0.0,13.606254014973171,0.0,-389.6321362044592,58.333104797497334,58.45004527749733,0.3974513632140505,0.008975261148293612,39.71170375922678,0.9998476951563913,0.0,0.01745240643728351,-1.158670195388394e-05,0.0,892.9998672375477,180.40435537535728,-13.131454301347805,-0.0,-376.03565134642736,192952.87359419465,-0.0013729044207328042,0.0,-0.019633447923264245,3.0213093489040097,0.021309348904009724,0.021309348904009724
0.013027889238746846,92.96553590785308,4.544124036449146,0.03385699675934944,5.893672448185763,0.005556001560507335,-0.6392514766472053,-0.0003032028523347885,1.123385317193431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.324383562928664,-2.465061365842809,0.0,0.0,0.0,0.0,0.0,0.0,0.5492996988344665,0.004027111400516401,-7.84948323198593e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8220554113591672,0.006026780509738339,-0.00010633119272807697,0.0,0.0,0.0,0.729639999400646,0.005891658010246936,-0.007128868446240661,0.0006910760842417361,-0.08356868013365167,-0.0003032028523347885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.901433532732577,0.0,0.0,0.0,0.22750965023711986,0.001667954138954492,-0.00012885112596267364,0.0,0.0,-0.0,0.22540229021138455,0.001652504333315351,-4.092647925543888e-05,0.0,0.0,0.0,1.003892553042301,0.007359893249219632,-0.00012381465495158876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5773329248439496,0.004232632947853101,-8.146996083354359e-05,0.0,0.0,0.0,0.05412496170412028,0.0003968093388612282,-1.5500184018937306e-05,0.0,0.0,0.0,0.35486654681599067,0.0026016528306439576,-5.682767050354445e-05,0.0,0.0,0.0,13.60566749194094,0.0,-389.6153403823519,58.33209989968548,58.44904037968548,0.39744686275133817,0.0089801194860616,39.70999191334997,0.9998476951563913,0.0,0.01745240643728351,-4.876723282611482e-06,0.0,892.9999796827003,180.4200482060468,-13.3614292371719,-0.0,-382.6212718574084,193057.3176202905,-0.0020157707848504247,0.0,-0.028826865244176193,3.022144647598158,0.02214464759815834,0.02214464759815834
0.018074371303324923,94.10200715257123,4.562828072331168,0.040321126278495024,19.853937907673533,0.006610921993292615,-0.6423291149101196,-0.000358926782424919,1.1233854252055409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3242187397369727,-2.46499489090416,0.0,0.0,0.0,0.0,0.0,0.0,0.5514875678276971,0.00479617656370468,-0.00015002350229687225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8253296704731743,0.007177726305682178,-0.00020323388678589337,0.0,0.0,0.0,0.73287091917908,0.0070127584937106704,-0.007192386860042379,0.000822554244041446,-0.08394038748958937,-0.000358926782424919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.862338612437917,0.0,0.0,0.0,0.2286957932055169,0.0019889213602959205,-0.0002462607627034823,0.0,0.0,-0.0,0.22630007093619295,0.001968086245106403,-7.821275546772335e-05,0.0,0.0,0.0,1.0078910722368257,0.008765426133667176,-0.00023665485111721066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5796324505995933,0.005040946953852368,-0.00015571052169998124,0.0,0.0,0.0,0.05434054224371189,0.0004725887769236595,-2.9614742738614686e-05,0.0,0.0,0.0,0.35627998562937596,0.0030984954455519718,-0.00010860688153444491,0.0,0.0,0.0,13.602734883372042,0.0,-389.53136146059325,58.32706768309396,58.444008163093955,0.39742436043777646,0.009009063247299953,39.70143268396593,0.9998476951563913,0.0,0.01745240643728351,-7.928482146328002e-05,0.0,892.9989980579682,180.4982773196075,-12.87157154575152,-0.0,-368.5935829333101,193679.57672253577,-0.005942483870581352,0.0,-0.08498147856907758,3.0263211410689013,0.026321141068901422,0.026321141068901422
