"part X,Y,Z",Forces & Moments,Magnitude Vectors of Forces and Moments
FirstStage.LowerPlumbingTubeFY(N),0.8584035862079951,
FirstStage.LowerPlumbingTubeFZ(N),19.62647989741079,19.66356529681417
FirstStage.LowerPlumbingTubeMX(Nm),7.53086021758932e-05,
FirstStage.LowerPlumbingTubeMY(Nm),0.0004177384086806,
FirstStage.LowerPlumbingTubeMZ(Nm),6.733478541053334e-08,0.000424472340892384
FirstStage.MotorFX(N),0.0,
FirstStage.MotorFY(N),0.0,
FirstStage.MotorFZ(N),4066.5195863366657,4066.5195863366657
FirstStage.MotorMX(Nm),0.0,
FirstStage.MotorMY(Nm),0.0,
FirstStage.MotorMZ(Nm),0.0,0.0
FirstStage.NoseConeShellFX(N),4.491305059414114,
FirstStage.NoseConeShellFY(N),15.499224932493169,
FirstStage.NoseConeShellFZ(N),87.06355010823923,88.5463695026206
FirstStage.NoseConeShellMX(Nm),0.0,
FirstStage.NoseConeShellMY(Nm),0.0,
FirstStage.NoseConeShellMZ(Nm),3.495334216524361e-08,3.495334216524361e-08
FirstStage.NozzleFX(N),0.0,
FirstStage.NozzleFY(N),0.0,
FirstStage.NozzleFZ(N),0.0,0.0
FirstStage.NozzleHousingMassFX(N),0.0,
FirstStage.NozzleHousingMassFY(N),0.0,
FirstStage.NozzleHousingMassFZ(N),0.0,0.0
FirstStage.NozzleHousingMassMX(Nm),0.0,
FirstStage.NozzleHousingMassMY(Nm),0.0,
FirstStage.NozzleHousingMassMZ(Nm),0.0,0.0
FirstStage.NozzleMX(Nm),0.0,
FirstStage.NozzleMY(Nm),0.0,
FirstStage.NozzleMZ(Nm),0.0,0.0
FirstStage.PayloadFX(N),0.0,
FirstStage.PayloadFY(N),0.0,
FirstStage.PayloadFZ(N),0.0,0.0
FirstStage.PayloadMX(Nm),0.0,
FirstStage.PayloadMY(Nm),0.0,
FirstStage.PayloadMZ(Nm),0.0,0.0
FirstStage.PressureVesselFX(N),3.122290236200504,
FirstStage.PressureVesselFY(N),3.1581234301163,
FirstStage.PressureVesselFZ(N),101.73726875994126,101.83415092517559
FirstStage.PressureVesselMX(Nm),3.408283816462537e-05,
FirstStage.PressureVesselMY(Nm),0.0001890582239855,
FirstStage.PressureVesselMZ(Nm),3.5567204841842625e-07,0.00019210616444173144
FirstStage.RecoveryBulkheadFX(N),0.0,
FirstStage.RecoveryBulkheadFY(N),0.0,
FirstStage.RecoveryBulkheadFZ(N),0.0,0.0
FirstStage.RecoveryBulkheadMX(Nm),0.0,
FirstStage.RecoveryBulkheadMY(Nm),0.0,
FirstStage.RecoveryBulkheadMZ(Nm),0.0,0.0
FirstStage.RecoverySystemFX(N),0.0,
FirstStage.RecoverySystemFY(N),0.0,
FirstStage.RecoverySystemFZ(N),0.0,0.0
FirstStage.RecoverySystemMX(Nm),0.0,
FirstStage.RecoverySystemMY(Nm),0.0,
FirstStage.RecoverySystemMZ(Nm),0.0,0.0
FirstStage.RecoveryTubeFX(N),2.1237718334795552,
FirstStage.RecoveryTubeFY(N),2.14814545738538,
FirstStage.RecoveryTubeFZ(N),40.88275398152428,40.99420091696636
FirstStage.RecoveryTubeMX(Nm),0.0018073421435584,
FirstStage.RecoveryTubeMY(Nm),0.0070086265296599,
FirstStage.RecoveryTubeMZ(Nm),1.4269765878039554e-07,0.007237909330497134
FirstStage.UpperBulkheadCasingFX(N),0.0,
FirstStage.UpperBulkheadCasingFY(N),0.0,
FirstStage.UpperBulkheadCasingFZ(N),0.0,0.0
FirstStage.UpperBulkheadCasingMX(Nm),0.0,
FirstStage.UpperBulkheadCasingMY(Nm),0.0,
FirstStage.UpperBulkheadCasingMZ(Nm),0.0,0.0
FirstStage.UpperPVBulkheadFX(N),0.0,
FirstStage.UpperPVBulkheadFY(N),0.0,
FirstStage.UpperPVBulkheadFZ(N),0.0,0.0
FirstStage.UpperPVBulkheadMX(Nm),0.0,
FirstStage.UpperPVBulkheadMY(Nm),0.0,
FirstStage.UpperPVBulkheadMZ(Nm),0.0,0.0
FirstStage.intermediateTubeFX(N),1.090689332202882,
FirstStage.intermediateTubeFY(N),1.1032067086753123,
FirstStage.intermediateTubeFZ(N),23.98914173807686,24.039251019759096
FirstStage.intermediateTubeMX(Nm),0.0003408064198953,
FirstStage.intermediateTubeMY(Nm),0.0012518691227574,
FirstStage.intermediateTubeMZ(Nm),8.257603992689127e-08,0.0012974302768064402
GravityFX(N),394.76389600380514,
GravityFY(N),160.8243238069915,
GravityFZ(N),512.2227775460101,666.3896536959652
TotalFX(N),491.7512084330978,
TotalFY(N),157.4257311435457,
TotalFZ(N),3498.9916594307097,3536.883479079734
